year,model,gender,brier_score,accuracy,n_games,missing_games
2022,massey_direct_M,M,0.21420560690871923,0.6567164179104478,67,0
2022,baseline_massey_M,M,0.21448886708814605,0.6567164179104478,67,0
2022,xgb_ensemble_M,M,0.21726849823732833,0.6716417910447762,67,0
2022,xgb_ensemble_v2_M,M,0.21734353311488194,0.6716417910447762,67,0
2022,use_last_year,M,0.23559009112933868,0.582089552238806,67,0
2022,xgb_ensemble,M,0.25320740164747013,0.5970149253731343,67,0
2022,elo_enhanced_M,M,0.3156515426529485,0.4925373134328358,67,0
2022,elo_M,M,0.3226369571783002,0.47761194029850745,67,0
2023,xgb_ensemble,M,0.2075719914809566,0.7014925373134329,67,0
2023,merged_model,M,0.2084302841255459,0.7164179104477612,67,0
2023,use_last_year_mens,M,0.20846248558323446,0.7313432835820896,67,0
2023,massey_direct_M,M,0.21139223942421823,0.6716417910447762,67,0
2023,xgb_ensemble_M,M,0.2116272926336523,0.6567164179104478,67,0
2023,xgb_ensemble_v2_M,M,0.2152109273332024,0.6567164179104478,67,0
2023,baseline_massey_M,M,0.21748127148551,0.6716417910447762,67,0
2023,elo_enhanced_M,M,0.2818646761151304,0.6119402985074627,67,0
2023,elo_M,M,0.28738454002652547,0.5970149253731343,67,0
2023,use_last_year_womens,W,0.14999998703470435,0.8208955223880597,67,0
2023,xgb_ensemble_W,W,0.17250834613803198,0.746268656716418,67,0
2023,xgb_ensemble_v2_W,W,0.17284903890025327,0.746268656716418,67,0
2023,massey_direct_W,W,0.1752348401626329,0.7164179104477612,67,0
2023,baseline_massey_W,W,0.17658257088027923,0.7014925373134329,67,0
2023,elo_W,W,0.3683979612355682,0.44776119402985076,67,0
2023,elo_enhanced_W,W,0.38298290506382143,0.44776119402985076,67,0
2024,baseline_massey_M,M,0.1833251274833795,0.6865671641791045,67,0
2024,xgb_ensemble_M,M,0.18783445146410957,0.7014925373134329,67,0
2024,xgb_ensemble_v2_M,M,0.1886343582523208,0.6865671641791045,67,0
2024,use_last_year_mens,M,0.19169338534350197,0.6865671641791045,67,0
2024,use_last_year_plus_massey,M,0.19169338534350197,0.6865671641791045,67,0
2024,massey_direct_M,M,0.19394199420269242,0.6716417910447762,67,0
2024,xgb_ensemble,M,0.19880983320831366,0.7014925373134329,67,0
2024,elo_enhanced_M,M,0.2502555195024844,0.6268656716417911,67,0
2024,elo_M,M,0.2581481767430049,0.6417910447761194,67,0
2024,baseline_massey_W,W,0.1180170852562347,0.8656716417910447,67,0
2024,xgb_ensemble_v2_W,W,0.12288239028865586,0.8805970149253731,67,0
2024,massey_direct_W,W,0.1232571287976558,0.835820895522388,67,0
2024,xgb_ensemble_W,W,0.1233219806328719,0.8656716417910447,67,0
2024,use_last_year_womens,W,0.1279829377291163,0.8208955223880597,67,0
2024,xgb_womens,W,0.1882284798817498,0.7164179104477612,67,0
2024,elo_W,W,0.3766034386611172,0.43283582089552236,67,0
2024,elo_enhanced_W,W,0.3804944777274689,0.44776119402985076,67,0
2025,xgb_ensemble_v2_M,M,0.15610834219172787,0.8208955223880597,67,0
2025,xgb_ensemble_rebuilt_M,M,0.15655626527802932,0.8059701492537313,67,0
2025,xgb_ensemble_M,M,0.15659388393218912,0.8059701492537313,67,0
2025,massey_direct_M,M,0.1645020688152182,0.7761194029850746,67,0
2025,baseline_massey_M,M,0.16518539978951136,0.7761194029850746,67,0
2025,baseline_massey_rebuilt_M,M,0.16518539978951136,0.7761194029850746,67,0
2025,elo_M,M,0.2911133436271617,0.5671641791044776,67,0
2025,elo_rebuilt_M,M,0.2911133436271617,0.5671641791044776,67,0
2025,elo_enhanced_M,M,0.29453058742063576,0.5671641791044776,67,0
2025,xgb_ensemble_W,W,0.11854203497082742,0.8507462686567164,67,0
2025,xgb_ensemble_v2_W,W,0.12171411501697321,0.8656716417910447,67,0
2025,massey_direct_W,W,0.12707686130063506,0.8208955223880597,67,0
2025,baseline_massey_W,W,0.13136069216774957,0.8507462686567164,67,0
2025,elo_W,W,0.35519231326673767,0.44776119402985076,67,0
2025,elo_enhanced_W,W,0.36380380588446043,0.44776119402985076,67,0
