k_factor,recency_factor,recency_window,carry_over_factor,accuracy,brier_score,log_loss,num_seasons
10,3.0,25,0.7,0.7075481179958792,0.1945831166241031,0.5702467780723111,9
10,2.75,25,0.7,0.7075481179958792,0.19459379479272138,0.5702635157612734,9
10,3.0,30,0.7,0.7075481179958791,0.19460467425073372,0.5702802648451736,9
10,2.75,30,0.7,0.7075481179958792,0.19460924023969486,0.5702831881041258,9
10,2.5,25,0.7,0.7075481179958792,0.19460622466373628,0.5702849891215284,9
10,2.5,30,0.7,0.7075481179958792,0.19461645593532503,0.5702933860302127,9
10,2.25,30,0.7,0.7075481179958792,0.19462639519757388,0.5703110506583856,9
10,2.25,25,0.7,0.7075481179958792,0.1946204429127306,0.5703112900547451,9
10,3.0,20,0.7,0.7075481179958792,0.1946124267639564,0.570333731758478,9
10,2.0,30,0.7,0.705889743203176,0.19463913428293875,0.570336381446108,9
10,2.0,25,0.7,0.7075481179958792,0.19463648703653857,0.5703425133495119,9
10,2.75,20,0.7,0.7075481179958792,0.1946216633229911,0.5703455152088898,9
10,2.5,20,0.7,0.7075481179958792,0.19463205497791497,0.5703604494434262,9
10,1.75,30,0.7,0.705889743203176,0.19465475190706372,0.5703695855513833,9
10,2.25,20,0.7,0.7058897432031761,0.19464361988864812,0.5703785759982289,9
10,1.75,25,0.7,0.705889743203176,0.19465439536106618,0.5703787567529279,9
10,2.0,20,0.7,0.704231368410473,0.1946563765368147,0.5703999375881748,9
10,1.5,30,0.7,0.7075481179958794,0.1946733293076024,0.5704108781212304,9
10,1.5,25,0.7,0.704231368410473,0.19467420704836527,0.5704201210432033,9
10,1.75,20,0.7,0.704231368410473,0.19467034372564618,0.5704245781273192,9
10,1.5,20,0.7,0.704231368410473,0.1946855405794107,0.5704525427492718,9
10,2.25,15,0.7,0.7058897432031761,0.19469260140705122,0.5704880006990218,9
10,2.5,15,0.7,0.7058897432031761,0.19468936712340276,0.5704880550766332,9
10,2.0,15,0.7,0.7075481179958794,0.19469655366519545,0.5704899839742666,9
10,2.75,15,0.7,0.7058897432031761,0.19468684305385564,0.5704901309552763,9
10,1.75,15,0.7,0.7075481179958794,0.1947012317653514,0.5704940214624991,9
10,3.0,15,0.7,0.7058897432031761,0.1946850215460417,0.5704942125881776,9
10,1.5,15,0.7,0.7058897432031761,0.19470664368111684,0.570500130135277,9
10,1.75,10,0.7,0.7075481179958794,0.1947156826880073,0.5705136662094421,9
10,1.5,10,0.7,0.7058897432031761,0.19471665717371428,0.5705142042338556,9
10,2.0,10,0.7,0.7075481179958794,0.19471507005473945,0.5705142382617181,9
10,2.25,10,0.7,0.7075481179958794,0.19471481688868156,0.5705159154076448,9
10,1.0,30,0.7,0.7058897432031761,0.1947197013770695,0.5705186309955674,9
10,1.0,10,0.7,0.7058897432031761,0.1947197013770695,0.5705186309955674,9
10,1.0,20,0.7,0.7058897432031761,0.1947197013770695,0.5705186309955674,9
10,1.0,25,0.7,0.7058897432031761,0.1947197013770695,0.5705186309955674,9
10,1.0,15,0.7,0.7058897432031761,0.1947197013770695,0.5705186309955674,9
10,2.5,10,0.7,0.7075481179958794,0.19471492083166753,0.5705186927736505,9
10,2.75,10,0.7,0.7075481179958794,0.19471537955285198,0.5705225655950645,9
10,3.0,10,0.7,0.7092064927885824,0.1947161907489565,0.5705275292155393,9
15,3.0,25,0.7,0.7042313684104728,0.19478973796417998,0.5706842418426121,9
15,2.75,25,0.7,0.7042313684104728,0.19479686519815667,0.5706848459041064,9
15,2.5,25,0.7,0.7025478667269712,0.19480664851584958,0.5706927699843194,9
15,2.25,25,0.7,0.7025478667269712,0.19481915589819981,0.5707081826587189,9
15,2.0,25,0.7,0.7025478667269712,0.19483445728457718,0.5707312600717299,9
15,2.25,30,0.7,0.7042313684104728,0.19484155718436938,0.57075423627282,9
15,2.0,30,0.7,0.7025478667269712,0.1948488371808571,0.5707576875702759,9
15,1.75,25,0.7,0.7025478667269712,0.19485262458910307,0.5707621861648398,9
15,2.5,30,0.7,0.705889743203176,0.19483869585065933,0.5707632340644997,9
15,1.75,30,0.7,0.7025478667269712,0.19486067804176307,0.5707739749835948,9
15,2.75,20,0.7,0.7008894919342681,0.1948323410795416,0.5707816449091453,9
15,3.0,20,0.7,0.7025729936177698,0.1948263554553321,0.5707840475018782,9
15,2.5,20,0.7,0.7008894919342681,0.19484007103961454,0.570784057684712,9
15,2.75,30,0.7,0.705889743203176,0.19484011632798795,0.5707843123579933,9
15,2.25,20,0.7,0.7025478667269712,0.1948495797819814,0.570791359531349,9
15,1.5,25,0.7,0.7008894919342681,0.19487373171301378,0.5708011529051541,9
15,1.5,30,0.7,0.7025478667269712,0.19487722745945055,0.5708035047752126,9
15,2.0,20,0.7,0.7025478667269712,0.19486090260961897,0.5708036274254691,9
15,3.0,30,0.7,0.704231368410473,0.1948456869703782,0.5708171202359955,9
15,1.75,20,0.7,0.7025478667269712,0.19487407568646825,0.5708209416913913,9
15,1.5,20,0.7,0.7008894919342681,0.19488913603992372,0.5708433860740748,9
15,1.5,15,0.7,0.7008894919342681,0.19491568042538956,0.5709023265981629,9
15,1.0,15,0.7,0.7008894919342681,0.19492507100393874,0.5709040176984903,9
15,1.0,20,0.7,0.7008894919342681,0.19492507100393874,0.5709040176984903,9
15,1.0,10,0.7,0.7008894919342681,0.19492507100393874,0.5709040176984903,9
15,1.0,30,0.7,0.7008894919342681,0.19492507100393874,0.5709040176984903,9
15,1.0,25,0.7,0.7008894919342681,0.19492507100393874,0.5709040176984903,9
15,1.75,15,0.7,0.7008894919342681,0.19491267057315592,0.5709061950907663,9
15,1.5,10,0.7,0.7008894919342681,0.19492472478074446,0.5709102262590147,9
15,2.0,15,0.7,0.7025478667269712,0.19491076345396754,0.5709131651437145,9
15,1.75,10,0.7,0.7008894919342681,0.1949253515741442,0.5709157921290893,9
15,2.0,10,0.7,0.7008894919342681,0.19492650516745244,0.5709229868761561,9
15,2.25,15,0.7,0.7025478667269712,0.19490994380356114,0.5709232074725061,9
15,2.25,10,0.7,0.7025478667269712,0.1949281808110984,0.5709318017916574,9
15,2.5,15,0.7,0.7008894919342681,0.19491019668286402,0.5709362940304454,9
15,2.5,10,0.7,0.7025478667269712,0.19493037383899614,0.5709422285073456,9
15,2.75,15,0.7,0.7008894919342681,0.19491150747858466,0.570952397994509,9
15,2.75,10,0.7,0.7025478667269712,0.19493307966938953,0.5709542589930544,9
15,3.0,10,0.7,0.7008894919342681,0.1949362938056428,0.5709678855543944,9
15,3.0,15,0.7,0.7025729936177698,0.19491386190317947,0.5709714937501709,9
10,3.0,25,0.6,0.705889743203176,0.19499110287517527,0.57174209605478,9
10,2.75,25,0.6,0.7042313684104728,0.19499923594896124,0.5717549490620385,9
10,2.5,25,0.6,0.7025729936177697,0.19500860857004054,0.5717709395551146,9
10,3.0,20,0.6,0.7025729936177697,0.19500350370960107,0.5717837466960548,9
10,2.25,25,0.6,0.7025729936177697,0.1950192444338758,0.5717901236629525,9
10,2.75,20,0.6,0.7025729936177697,0.19501166619741844,0.5717954489606272,9
10,2.5,20,0.6,0.7042313684104728,0.19502064204280126,0.5718091960124383,9
10,2.0,25,0.6,0.7042313684104728,0.19503116772145826,0.5718125591397937,9
10,2.25,20,0.6,0.7042313684104728,0.19503044276572698,0.5718250122083105,9
10,1.75,25,0.6,0.7042313684104728,0.19504440310147808,0.5718383053986936,9
10,2.0,20,0.6,0.7042313684104728,0.1950410800734887,0.5718429225513828,9
10,2.25,30,0.6,0.7025729936177697,0.19504992560475415,0.571861549639114,9
10,1.75,20,0.6,0.7042313684104728,0.19505256586035885,0.5718629527002449,9
10,2.5,30,0.6,0.705889743203176,0.19504820234382458,0.5718640122944488,9
10,2.0,30,0.6,0.7025729936177697,0.19505382281077388,0.5718646914913701,9
10,1.5,25,0.6,0.7042313684104728,0.19505897573196082,0.5718674235451371,9
10,2.75,30,0.6,0.705889743203176,0.19504860146838252,0.5718719512226597,9
10,1.75,30,0.6,0.7025729936177697,0.19505994703288765,0.5718735705676663,9
10,1.5,20,0.6,0.7042313684104728,0.19506491220700642,0.5718851289779315,9
10,3.0,30,0.6,0.704231368410473,0.19505107289883405,0.5718852425306419,9
10,1.5,30,0.6,0.7025729936177697,0.19506835288465385,0.5718883242103138,9
10,2.25,15,0.6,0.7042313684104728,0.1950711191975603,0.5719163516928268,9
10,2.5,15,0.6,0.7025729936177697,0.1950684315014709,0.5719163711067637,9
10,2.0,15,0.6,0.7042313684104728,0.19507431250081242,0.5719176383814943,9
10,2.75,15,0.6,0.7025729936177697,0.19506624482118518,0.5719176878966202,9
10,1.75,15,0.6,0.7042313684104728,0.1950780160661557,0.5719202401241027,9
10,3.0,15,0.6,0.7025729936177697,0.19506455462923286,0.5719202935588822,9
10,1.5,15,0.6,0.7042313684104728,0.19508223461170335,0.5719241660980257,9
10,2.25,10,0.6,0.7042313684104728,0.19508363416651714,0.5719265272277794,9
10,2.5,10,0.6,0.7042313684104728,0.19508267186538406,0.5719267433027372,9
10,2.0,10,0.6,0.7042313684104728,0.19508484729378642,0.5719270129025277,9
10,2.75,10,0.6,0.7042313684104728,0.19508195903202413,0.5719276584646726,9
10,1.75,10,0.6,0.7042313684104728,0.1950863126226855,0.5719282030533668,9
10,3.0,10,0.6,0.7025729936177697,0.1950814943252951,0.5719292701142153,9
10,1.5,10,0.6,0.7042313684104728,0.1950880315457416,0.5719301004706246,9
10,1.0,10,0.6,0.7042313684104728,0.19509223582898752,0.5719360285870864,9
10,1.0,15,0.6,0.7042313684104728,0.19509223582898752,0.5719360285870864,9
10,1.0,20,0.6,0.7042313684104728,0.19509223582898752,0.5719360285870864,9
10,1.0,25,0.6,0.7042313684104728,0.19509223582898752,0.5719360285870864,9
10,1.0,30,0.6,0.7042313684104728,0.19509223582898752,0.5719360285870864,9
20,2.5,25,0.7,0.7025478667269712,0.1953372634770553,0.571992838064571,9
20,2.75,25,0.7,0.7025478667269712,0.19532958217015167,0.5719965389343415,9
20,2.25,25,0.7,0.7025478667269712,0.19534849338859622,0.57199905282344,9
20,3.0,25,0.7,0.7025478667269712,0.1953253522676623,0.5720099198084543,9
20,2.0,25,0.7,0.7042062415196744,0.1953633725601336,0.5720154332382992,9
20,1.75,25,0.7,0.7042062415196744,0.1953820051276315,0.5720422442578695,9
20,1.5,25,0.7,0.7058646163123775,0.19540449872058813,0.5720797662629044,9
20,1.75,30,0.7,0.7042062415196744,0.19539888492466775,0.5720829931354126,9
20,2.0,30,0.7,0.7042062415196744,0.19539127928695757,0.5720860782213038,9
