k_factor,recency_factor,recency_window,carry_over_factor,accuracy,brier_score,log_loss,num_seasons
40,3.0,20,0.7,0.7791992418858089,0.15242069511798126,0.461799109689409,9
40,2.75,20,0.7,0.7791992418858089,0.15242623645971606,0.4618859888125736,9
40,2.5,20,0.7,0.7791992418858089,0.15243592591803004,0.4619805607585347,9
40,2.25,20,0.7,0.7808576166785122,0.15244979341640763,0.46208290468409036,9
40,2.0,20,0.7,0.7808576166785122,0.15246788393761143,0.46219313379325627,9
40,1.75,20,0.7,0.7808576166785122,0.1524902576780189,0.46231139532528837,9
40,2.75,25,0.7,0.7791992418858089,0.15260390080272795,0.4623982749015153,9
40,2.5,25,0.7,0.7791992418858089,0.15258179986836687,0.46240398745110767,9
40,3.0,25,0.7,0.7790939482481771,0.15263219422632895,0.46240508311129275,9
40,2.25,25,0.7,0.779093948248177,0.15256594462559236,0.4624224258927887,9
40,3.0,15,0.7,0.7774355734554739,0.15263393884902143,0.4624238329718647,9
40,1.5,20,0.7,0.7808576166785122,0.1525169901512464,0.4624378704424283,9
40,2.75,15,0.7,0.7774355734554739,0.15261822479515902,0.4624437720789866,9
40,2.0,25,0.7,0.779093948248177,0.15255641184843982,0.4624538470400085,9
40,2.5,15,0.7,0.779093948248177,0.15260519693156593,0.46246844684380517,9
40,2.25,15,0.7,0.7774355734554739,0.15259485480783141,0.46249784250954445,9
40,1.75,25,0.7,0.779093948248177,0.1525533027101685,0.4624985603578415,9
40,2.0,15,0.7,0.7774355734554739,0.15258720509400125,0.46253196219032133,9
40,3.0,10,0.7,0.7774355734554739,0.15262638550762692,0.4625369760674141,9
40,2.75,10,0.7,0.7774355734554739,0.15261322621554518,0.4625438682769993,9
40,2.5,10,0.7,0.7774355734554739,0.15260231633111118,0.4625552194098883,9
40,1.5,25,0.7,0.779093948248177,0.15255674354351195,0.4625569287999367,9
40,1.75,15,0.7,0.7774355734554739,0.1525822615362863,0.46257082661012955,9
40,2.25,10,0.7,0.7774355734554739,0.15259364885915172,0.46257100761602554,9
40,2.0,10,0.7,0.7774355734554739,0.15258721978004416,0.46259121984542134,9
40,1.5,15,0.7,0.7774355734554739,0.1525800449015096,0.4626144738443661,9
40,1.75,10,0.7,0.7774355734554739,0.15258302803666163,0.462615851810996,9
40,1.5,10,0.7,0.779093948248177,0.15258107551226077,0.46264490796514424,9
40,1.0,30,0.7,0.777330279817842,0.15258391015137954,0.4627163543009186,9
40,1.0,20,0.7,0.777330279817842,0.15258391015137954,0.4627163543009186,9
40,1.0,15,0.7,0.777330279817842,0.15258391015137954,0.4627163543009186,9
